ID_Transaccion,Fecha_Venta,Cliente,Producto,Categoria,Sucursal,Cantidad,Precio_Unitario,Descuento
23,2024-07-17,SoftWare House,Soporte Premium,Servicios,Norte,10,1200,0.01
24,2023-09-28,CloudNet,Servidor Dedicado,Hardware,Sur,1,3500,0.02
25,2023-10-10,CloudNet,Licencia Enterprise,Software,Norte,1,5000,0.1
26,2024-06-21,global corp,Consultoría Hora,Servicios,Oeste,2,150,0.08
27,2024-05-29,software house,Licencia Enterprise,Software,Sur,1,5000,0.09
28,2024-11-15,TechSolutions Inc,Pack Seguridad,Software,Sur,6,800,0.0
29,2024-03-12,DataSystems,Servidor Dedicado,Hardware,Este,3,3500,0.04
30,2024-08-07,SoftWare House,Pack Seguridad,Software,Oeste,5,800,0.06
31,2023-03-13,CloudNet,Pack Seguridad,Software,Central,2,800,0.03
32,2024-12-02,DATASYSTEMS,Servidor Dedicado,Hardware,Sur,6,3500,0.06
33,2024-02-09,Global Corp,Soporte Premium,Servicios,Norte,10,1200,0.1
34,2024-06-03,software house,Consultoría Hora,Servicios,Oeste,1,150,0.02
35,2024-08-24,SOFTWARE HOUSE,Licencia Enterprise,Software,Central,5,5000,0.04
36,2023-10-13,TechSolutions Inc,Consultoría Hora,Servicios,Sur,1,150,0.08
37,2023-02-16,DataSystems,Pack Seguridad,Software,Sur,10,800,0.04
38,2023-08-10,CLOUDNET,Soporte Premium,Servicios,Central,6,1200,0.05
39,2023-05-21,CLOUDNET,Pack Seguridad,Software,Oeste,9,800,0.0
40,2024-05-10,CLOUDNET,Soporte Premium,Servicios,Norte,10,1200,0.02
41,2023-09-04,SOFTWARE HOUSE,Soporte Premium,Servicios,Oeste,1,1200,0.02
42,2024-02-12,datasystems,Licencia Enterprise,Software,Norte,1,5000,0.06
43,2024-07-08,TechSolutions Inc,Consultoría Hora,Servicios,Este,8,150,0.01
44,2023-07-27,TechSolutions Inc,Soporte Premium,Servicios,Norte,1,1200,0.05
45,2023-07-07,SOFTWARE HOUSE,Licencia Enterprise,Software,Norte,3,5000,0.03
46,2024-12-02,CloudNet,Soporte Premium,Servicios,Oeste,8,1200,0.08
47,2023-06-04,GLOBAL CORP,Licencia Enterprise,Software,Sur,10,5000,0.1
48,2024-03-12,DataSystems,Pack Seguridad,Software,Este,2,800,0.05
49,2023-08-22,SoftWare House,Licencia Enterprise,Software,Central,6,5000,0.1
50,2024-09-01,techsolutions inc,Soporte Premium,Servicios,Oeste,1,1200,0.05
51,2023-11-01,CloudNet,Pack Seguridad,Software,Central,4,800,0.09
52,2024-05-22,CloudNet,Servidor Dedicado,Hardware,Sur,8,3500,0.0
53,2024-08-28,TechSolutions Inc,Licencia Enterprise,Software,Oeste,7,5000,0.07
54,2024-07-14,SOFTWARE HOUSE,Licencia Enterprise,Software,Oeste,1,5000,0.04
55,2024-07-28,CloudNet,Licencia Enterprise,Software,Sur,8,5000,0.05
56,2023-02-24,CLOUDNET,Pack Seguridad,Software,Norte,1,800,0.07
57,2023-03-04,GLOBAL CORP,Consultoría Hora,Servicios,Sur,1,150,0.01
58,2023-01-19,DataSystems,Consultoría Hora,Servicios,Norte,1,150,0.02
59,2023-10-01,GLOBAL CORP,Pack Seguridad,Software,Norte,6,800,0.07
60,2024-03-13,CLOUDNET,Consultoría Hora,Servicios,Sur,2,150,0.02
61,2023-01-29,CloudNet,Soporte Premium,Servicios,Sur,5,1200,0.02
62,2023-05-03,cloudnet,Servidor Dedicado,Hardware,Este,2,3500,0.09
63,2024-04-27,TechSolutions Inc,Consultoría Hora,Servicios,Sur,3,150,0.09
64,2023-06-29,CLOUDNET,Licencia Enterprise,Software,Central,7,5000,0.07
65,2023-12-04,cloudnet,Soporte Premium,Servicios,Sur,6,1200,0.02
66,2023-04-03,software house,Licencia Enterprise,Software,Oeste,2,5000,0.05
67,2023-12-23,DataSystems,Licencia Enterprise,Software,Norte,10,5000,0.02
68,2024-06-06,DataSystems,Servidor Dedicado,Hardware,Sur,3,3500,0.09
69,2023-02-10,DataSystems,Servidor Dedicado,Hardware,Sur,4,3500,0.07
70,2024-08-27,TECHSOLUTIONS INC,Soporte Premium,Servicios,Oeste,4,1200,0.03
71,2024-11-28,TechSolutions Inc,Licencia Enterprise,Software,Sur,6,5000,0.04
72,2023-09-23,DataSystems,Soporte Premium,Servicios,Sur,5,1200,0.02
73,2024-10-16,DATASYSTEMS,Soporte Premium,Servicios,Oeste,5,1200,0.09
74,2023-02-13,SoftWare House,Licencia Enterprise,Software,Oeste,6,5000,0.08
75,2024-08-19,Global Corp,Pack Seguridad,Software,Este,4,800,0.01
76,2024-12-06,TECHSOLUTIONS INC,Servidor Dedicado,Hardware,Sur,10,3500,0.04
77,2023-05-10,SOFTWARE HOUSE,Servidor Dedicado,Hardware,Central,8,3500,0.02
78,2024-02-07,cloudnet,Licencia Enterprise,Software,Sur,2,5000,0.06
79,2023-08-29,software house,Consultoría Hora,Servicios,Este,10,150,0.07
80,2023-05-09,DATASYSTEMS,Licencia Enterprise,Software,Sur,1,5000,0.09
81,2023-02-12,CloudNet,Consultoría Hora,Servicios,Oeste,8,150,0.06
82,2024-07-31,TechSolutions Inc,Pack Seguridad,Software,Norte,9,800,0.04
83,2024-11-23,SOFTWARE HOUSE,Servidor Dedicado,Hardware,Central,5,3500,0.09
84,2023-09-30,global corp,Licencia Enterprise,Software,Norte,3,5000,0.01
85,2023-11-19,SoftWare House,Licencia Enterprise,Software,Oeste,1,5000,0.06
86,2023-02-16,DataSystems,Pack Seguridad,Software,Norte,3,800,0.05
87,2023-09-02,techsolutions inc,Soporte Premium,Servicios,Central,10,1200,0.02
88,2024-06-20,TECHSOLUTIONS INC,Soporte Premium,Servicios,Sur,5,1200,0.04
89,2024-04-01,techsolutions inc,Servidor Dedicado,Hardware,Sur,9,3500,0.05
90,2023-11-18,TechSolutions Inc,Licencia Enterprise,Software,Central,8,5000,0.01
91,2023-04-24,Global Corp,Soporte Premium,Servicios,Oeste,2,1200,0.03
92,2023-04-24,techsolutions inc,Soporte Premium,Servicios,Oeste,4,1200,0.0
93,2024-08-05,SoftWare House,Licencia Enterprise,Software,Norte,5,5000,0.02
94,2023-10-16,TechSolutions Inc,Consultoría Hora,Servicios,Oeste,1,150,0.1
95,2023-10-29,CloudNet,Soporte Premium,Servicios,Norte,10,1200,0.01
96,2023-01-16,Global Corp,Pack Seguridad,Software,Este,8,800,0.09
97,2024-10-26,DataSystems,Consultoría Hora,Servicios,Central,3,150,0.01
98,2024-11-14,SoftWare House,Soporte Premium,Servicios,Norte,6,1200,0.08
99,2023-10-22,GLOBAL CORP,Soporte Premium,Servicios,Este,1,1200,0.07
100,2023-03-04,SoftWare House,Pack Seguridad,Software,Norte,6,800,0.02
101,2023-09-26,DataSystems,Consultoría Hora,Servicios,Oeste,3,150,0.03
102,2024-03-04,TECHSOLUTIONS INC,Licencia Enterprise,Software,Norte,2,5000,0.05
103,2024-10-14,software house,Servidor Dedicado,Hardware,Sur,6,3500,0.08
104,2023-06-02,SOFTWARE HOUSE,Servidor Dedicado,Hardware,Sur,5,3500,0.01
105,2023-05-01,TechSolutions Inc,Servidor Dedicado,Hardware,Oeste,5,3500,0.06
106,2023-01-18,techsolutions inc,Soporte Premium,Servicios,Norte,4,1200,0.1
107,2024-03-26,TechSolutions Inc,Servidor Dedicado,Hardware,Sur,1,3500,0.07
108,2023-02-01,DATASYSTEMS,Consultoría Hora,Servicios,Central,1,150,0.03
109,2023-03-27,CloudNet,Pack Seguridad,Software,Sur,6,800,0.06
110,2024-04-13,CLOUDNET,Soporte Premium,Servicios,Sur,3,1200,0.09
111,2024-08-28,CLOUDNET,Consultoría Hora,Servicios,Este,6,150,0.08
112,2024-12-19,CloudNet,Servidor Dedicado,Hardware,Este,5,3500,0.06
113,2023-01-28,TechSolutions Inc,Servidor Dedicado,Hardware,Central,5,3500,0.04
114,2023-01-23,SoftWare House,Consultoría Hora,Servicios,Sur,3,150,0.02
115,2024-02-07,CloudNet,Consultoría Hora,Servicios,Norte,2,150,0.06
116,2024-06-01,TechSolutions Inc,Servidor Dedicado,Hardware,Sur,1,3500,0.05
117,2024-09-01,SOFTWARE HOUSE,Pack Seguridad,Software,Norte,10,800,0.06
118,2024-01-02,datasystems,Servidor Dedicado,Hardware,Este,3,3500,0.04
119,2024-09-09,SOFTWARE HOUSE,Consultoría Hora,Servicios,Este,7,150,0.09
120,2023-05-31,Global Corp,Consultoría Hora,Servicios,Central,2,150,0.07
121,2024-09-06,Global Corp,Licencia Enterprise,Software,Central,10,5000,0.02
122,2024-03-05,SoftWare House,Servidor Dedicado,Hardware,Sur,4,3500,0.06
123,2023-02-13,global corp,Consultoría Hora,Servicios,Norte,5,150,0.02
124,2023-06-08,TechSolutions Inc,Licencia Enterprise,Software,Oeste,1,5000,0.05
125,2024-11-22,DATASYSTEMS,Pack Seguridad,Software,Sur,6,800,0.02
126,2023-11-05,GLOBAL CORP,Pack Seguridad,Software,Norte,5,800,0.03
127,2024-07-31,Global Corp,Licencia Enterprise,Software,Este,6,5000,0.05
128,2024-10-15,DATASYSTEMS,Consultoría Hora,Servicios,Este,6,150,0.09
129,2024-06-11,SoftWare House,Servidor Dedicado,Hardware,Norte,7,3500,0.07
130,2023-01-29,TechSolutions Inc,Pack Seguridad,Software,Central,9,800,0.08
131,2023-04-13,SOFTWARE HOUSE,Consultoría Hora,Servicios,Oeste,10,150,0.02
132,2023-01-17,Global Corp,Servidor Dedicado,Hardware,Norte,4,3500,0.02
133,2024-12-15,TechSolutions Inc,Pack Seguridad,Software,Norte,2,800,0.01
134,2023-08-19,DATASYSTEMS,Consultoría Hora,Servicios,Este,8,150,0.06
135,2024-02-27,Global Corp,Servidor Dedicado,Hardware,Sur,10,3500,0.06
136,2023-07-06,Global Corp,Soporte Premium,Servicios,Central,10,1200,0.01
137,2024-07-24,DataSystems,Servidor Dedicado,Hardware,Norte,4,3500,0.09
138,2024-01-14,TECHSOLUTIONS INC,Pack Seguridad,Software,Central,9,800,0.06
139,2023-05-21,TechSolutions Inc,Soporte Premium,Servicios,Este,3,1200,0.06
140,2023-10-07,GLOBAL CORP,Soporte Premium,Servicios,Este,3,1200,0.01
141,2024-07-31,TECHSOLUTIONS INC,Consultoría Hora,Servicios,Central,1,150,0.09
142,2024-12-13,DATASYSTEMS,Licencia Enterprise,Software,Oeste,6,5000,0.09
143,2024-11-23,Global Corp,Servidor Dedicado,Hardware,Sur,10,3500,0.08
144,2023-04-30,SOFTWARE HOUSE,Soporte Premium,Servicios,Este,6,1200,0.01
145,2024-01-04,techsolutions inc,Licencia Enterprise,Software,Sur,9,5000,0.07
146,2024-06-16,SOFTWARE HOUSE,Licencia Enterprise,Software,Este,7,5000,0.08
147,2023-04-30,SOFTWARE HOUSE,Servidor Dedicado,Hardware,Oeste,9,3500,0.01
148,2023-02-07,TechSolutions Inc,Soporte Premium,Servicios,Central,9,1200,0.06
149,2023-05-16,DataSystems,Soporte Premium,Servicios,Oeste,9,1200,0.09
150,2023-09-27,DATASYSTEMS,Servidor Dedicado,Hardware,Central,5,3500,0.08
151,2023-08-04,DataSystems,Consultoría Hora,Servicios,Norte,10,150,0.07
152,2024-08-10,GLOBAL CORP,Licencia Enterprise,Software,Sur,5,5000,0.03
153,2023-06-11,CloudNet,Licencia Enterprise,Software,Central,1,5000,0.05
154,2023-06-05,TechSolutions Inc,Soporte Premium,Servicios,Este,3,1200,0.08
155,2023-03-20,CLOUDNET,Pack Seguridad,Software,Central,4,800,0.07
156,2024-07-16,GLOBAL CORP,Pack Seguridad,Software,Este,3,800,0.08
157,2023-06-08,techsolutions inc,Soporte Premium,Servicios,Este,7,1200,0.04
158,2023-08-23,CloudNet,Pack Seguridad,Software,Central,4,800,0.09
159,2024-05-09,techsolutions inc,Licencia Enterprise,Software,Este,9,5000,0.04
160,2024-06-02,CloudNet,Licencia Enterprise,Software,Central,4,5000,0.05
161,2024-08-16,CloudNet,Licencia Enterprise,Software,Oeste,7,5000,0.02
162,2023-01-19,techsolutions inc,Consultoría Hora,Servicios,Oeste,1,150,0.02
163,2024-03-30,Global Corp,Licencia Enterprise,Software,Norte,4,5000,0.04
164,2023-11-27,TECHSOLUTIONS INC,Pack Seguridad,Software,Sur,4,800,0.05
165,2023-02-19,Global Corp,Servidor Dedicado,Hardware,Oeste,4,3500,0.01
166,2023-02-20,TechSolutions Inc,Licencia Enterprise,Software,Sur,1,5000,0.08
167,2024-03-13,CloudNet,Servidor Dedicado,Hardware,Central,9,3500,0.06
168,2023-01-16,CloudNet,Servidor Dedicado,Hardware,Norte,1,3500,0.03
169,2024-05-02,TechSolutions Inc,Pack Seguridad,Software,Este,4,800,0.03
170,2023-02-01,CloudNet,Consultoría Hora,Servicios,Central,10,150,0.02
171,2023-04-01,SoftWare House,Pack Seguridad,Software,Oeste,8,800,0.0
172,2023-12-14,SOFTWARE HOUSE,Pack Seguridad,Software,Sur,5,800,0.02
173,2023-05-08,Global Corp,Consultoría Hora,Servicios,Sur,6,150,0.05
174,2023-04-20,GLOBAL CORP,Licencia Enterprise,Software,Sur,10,5000,0.05
175,2024-09-18,Global Corp,Soporte Premium,Servicios,Este,6,1200,0.05
176,2024-02-17,TECHSOLUTIONS INC,Soporte Premium,Servicios,Sur,1,1200,0.0
177,2024-04-19,SOFTWARE HOUSE,Pack Seguridad,Software,Este,6,800,0.06
178,2024-03-30,datasystems,Pack Seguridad,Software,Norte,4,800,0.1
179,2024-05-02,global corp,Consultoría Hora,Servicios,Norte,5,150,0.1
180,2023-08-27,SoftWare House,Licencia Enterprise,Software,Este,7,5000,0.03
181,2023-09-12,software house,Consultoría Hora,Servicios,Central,9,150,0.06
182,2024-06-14,global corp,Consultoría Hora,Servicios,Este,9,150,0.0
183,2023-08-04,DataSystems,Soporte Premium,Servicios,Este,4,1200,0.05
184,2023-10-21,CloudNet,Consultoría Hora,Servicios,Central,7,150,0.07
185,2024-05-11,DATASYSTEMS,Pack Seguridad,Software,Oeste,9,800,0.07
186,2023-02-28,Global Corp,Licencia Enterprise,Software,Norte,6,5000,0.06
187,2024-12-01,GLOBAL CORP,Consultoría Hora,Servicios,Este,10,150,0.04
188,2024-10-29,CLOUDNET,Licencia Enterprise,Software,Este,4,5000,0.04
189,2024-01-20,DATASYSTEMS,Licencia Enterprise,Software,Central,5,5000,0.09
190,2023-01-22,DataSystems,Pack Seguridad,Software,Central,9,800,0.02
191,2024-08-27,TechSolutions Inc,Consultoría Hora,Servicios,Sur,4,150,0.05
192,2023-01-02,cloudnet,Consultoría Hora,Servicios,Sur,1,150,0.0
193,2023-08-04,GLOBAL CORP,Pack Seguridad,Software,Oeste,9,800,0.08
194,2023-10-08,TechSolutions Inc,Consultoría Hora,Servicios,Oeste,10,150,0.09
195,2023-01-07,DataSystems,Consultoría Hora,Servicios,Norte,5,150,0.02
196,2023-12-12,GLOBAL CORP,Pack Seguridad,Software,Este,6,800,0.04
197,2023-10-19,DATASYSTEMS,Licencia Enterprise,Software,Este,6,5000,0.06
198,2024-10-26,GLOBAL CORP,Licencia Enterprise,Software,Norte,8,5000,0.07
199,2023-09-06,software house,Soporte Premium,Servicios,Norte,9,1200,0.03
200,2023-12-05,global corp,Pack Seguridad,Software,Oeste,8,800,0.08
201,2024-01-14,DATASYSTEMS,Servidor Dedicado,Hardware,Norte,7,3500,0.04
202,2023-10-22,TechSolutions Inc,Consultoría Hora,Servicios,Central,1,150,0.08
203,2023-11-30,GLOBAL CORP,Servidor Dedicado,Hardware,Oeste,5,3500,0.05
204,2024-11-28,CloudNet,Servidor Dedicado,Hardware,Central,5,3500,0.06
205,2024-12-01,TechSolutions Inc,Licencia Enterprise,Software,Este,2,5000,0.02
206,2023-09-28,GLOBAL CORP,Soporte Premium,Servicios,Oeste,1,1200,0.05
207,2023-01-15,SOFTWARE HOUSE,Consultoría Hora,Servicios,Norte,6,150,0.02
208,2023-04-22,cloudnet,Licencia Enterprise,Software,Norte,8,5000,0.06
209,2023-10-15,GLOBAL CORP,Pack Seguridad,Software,Este,3,800,0.02
210,2023-10-27,SoftWare House,Pack Seguridad,Software,Sur,7,800,0.04
211,2023-09-12,DataSystems,Consultoría Hora,Servicios,Norte,6,150,0.03
212,2024-06-21,CloudNet,Soporte Premium,Servicios,Sur,7,1200,0.09
213,2024-03-27,TechSolutions Inc,Pack Seguridad,Software,Oeste,8,800,0.01
214,2023-04-06,DataSystems,Pack Seguridad,Software,Norte,8,800,0.05
215,2023-11-24,TechSolutions Inc,Pack Seguridad,Software,Este,1,800,0.07
216,2024-05-30,GLOBAL CORP,Licencia Enterprise,Software,Norte,4,5000,0.1
217,2024-09-16,Global Corp,Pack Seguridad,Software,Sur,7,800,0.09
218,2023-01-18,GLOBAL CORP,Soporte Premium,Servicios,Este,4,1200,0.05
219,2024-05-03,TECHSOLUTIONS INC,Consultoría Hora,Servicios,Central,8,150,0.06
220,2024-07-03,GLOBAL CORP,Consultoría Hora,Servicios,Sur,7,150,0.03
221,2024-07-17,cloudnet,Licencia Enterprise,Software,Sur,10,5000,0.09
222,2024-12-27,SoftWare House,Pack Seguridad,Software,Norte,10,800,0.03
223,2023-01-13,Global Corp,Servidor Dedicado,Hardware,Oeste,7,3500,0.02
224,2023-12-30,Global Corp,Consultoría Hora,Servicios,Sur,5,150,0.08
225,2024-01-25,DataSystems,Licencia Enterprise,Software,Oeste,7,5000,0.0
226,2023-08-06,GLOBAL CORP,Consultoría Hora,Servicios,Norte,6,150,0.07
227,2024-02-05,GLOBAL CORP,Servidor Dedicado,Hardware,Sur,6,3500,0.07
228,2024-01-29,CloudNet,Servidor Dedicado,Hardware,Este,4,3500,0.05
229,2024-01-04,CloudNet,Pack Seguridad,Software,Sur,3,800,0.03
230,2024-08-24,DATASYSTEMS,Consultoría Hora,Servicios,Norte,6,150,0.06
231,2023-03-08,techsolutions inc,Consultoría Hora,Servicios,Oeste,5,150,0.05
232,2024-01-21,CLOUDNET,Pack Seguridad,Software,Sur,9,800,0.07
233,2024-12-08,Global Corp,Licencia Enterprise,Software,Sur,1,5000,0.01
234,2023-06-19,SoftWare House,Consultoría Hora,Servicios,Sur,4,150,0.05
235,2023-08-24,datasystems,Servidor Dedicado,Hardware,Oeste,6,3500,0.07
236,2024-07-23,SOFTWARE HOUSE,Soporte Premium,Servicios,Central,6,1200,0.06
237,2023-02-14,Global Corp,Servidor Dedicado,Hardware,Oeste,8,3500,0.06
238,2024-06-21,DATASYSTEMS,Licencia Enterprise,Software,Norte,10,5000,0.06
239,2024-02-16,DATASYSTEMS,Servidor Dedicado,Hardware,Este,9,3500,0.0
240,2024-08-26,datasystems,Pack Seguridad,Software,Este,3,800,0.09
241,2023-07-01,techsolutions inc,Licencia Enterprise,Software,Sur,8,5000,0.03
242,2024-11-07,GLOBAL CORP,Consultoría Hora,Servicios,Central,4,150,0.08
243,2023-04-22,techsolutions inc,Consultoría Hora,Servicios,Este,2,150,0.09
244,2024-09-10,SoftWare House,Pack Seguridad,Software,Este,5,800,0.06
245,2023-12-14,DataSystems,Soporte Premium,Servicios,Norte,10,1200,0.06
246,2024-09-07,Global Corp,Consultoría Hora,Servicios,Oeste,4,150,0.07
247,2023-02-15,cloudnet,Consultoría Hora,Servicios,Este,3,150,0.03
248,2023-07-11,DataSystems,Licencia Enterprise,Software,Sur,2,5000,0.01
249,2024-06-08,DataSystems,Servidor Dedicado,Hardware,Norte,4,3500,0.08
250,2023-02-28,SOFTWARE HOUSE,Licencia Enterprise,Software,Este,10,5000,0.03
251,2023-02-21,DATASYSTEMS,Servidor Dedicado,Hardware,Central,1,3500,0.1
252,2024-01-07,TECHSOLUTIONS INC,Servidor Dedicado,Hardware,Central,7,3500,0.06
253,2024-10-18,TechSolutions Inc,Consultoría Hora,Servicios,Este,10,150,0.02
254,2023-06-22,software house,Pack Seguridad,Software,Sur,8,800,0.03
255,2023-01-05,SoftWare House,Consultoría Hora,Servicios,Este,2,150,0.0
256,2023-06-19,DataSystems,Servidor Dedicado,Hardware,Sur,1,3500,0.02
257,2024-10-07,SOFTWARE HOUSE,Servidor Dedicado,Hardware,Norte,10,3500,0.03
258,2024-11-08,TechSolutions Inc,Licencia Enterprise,Software,Este,6,5000,0.08
259,2023-10-17,SOFTWARE HOUSE,Soporte Premium,Servicios,Norte,4,1200,0.02
260,2023-07-06,TechSolutions Inc,Licencia Enterprise,Software,Central,10,5000,0.08
261,2024-07-14,techsolutions inc,Consultoría Hora,Servicios,Sur,4,150,0.04
262,2024-05-02,Global Corp,Pack Seguridad,Software,Este,3,800,0.02
263,2023-02-26,CLOUDNET,Licencia Enterprise,Software,Central,4,5000,0.07
264,2024-09-07,CloudNet,Licencia Enterprise,Software,Central,4,5000,0.0
265,2024-06-22,CLOUDNET,Servidor Dedicado,Hardware,Oeste,8,3500,0.09
266,2024-10-19,techsolutions inc,Servidor Dedicado,Hardware,Oeste,5,3500,0.09
267,2023-09-23,cloudnet,Licencia Enterprise,Software,Sur,10,5000,0.04
268,2024-03-10,SoftWare House,Pack Seguridad,Software,Sur,4,800,0.03
269,2023-08-15,TECHSOLUTIONS INC,Licencia Enterprise,Software,Norte,2,5000,0.06
270,2024-03-26,TechSolutions Inc,Soporte Premium,Servicios,Central,2,1200,0.07
271,2023-02-10,SoftWare House,Licencia Enterprise,Software,Norte,5,5000,0.06
272,2023-04-14,SoftWare House,Soporte Premium,Servicios,Sur,6,1200,0.05
273,2023-09-01,global corp,Servidor Dedicado,Hardware,Sur,7,3500,0.03
274,2023-11-16,CLOUDNET,Soporte Premium,Servicios,Este,10,1200,0.01
275,2023-08-02,cloudnet,Licencia Enterprise,Software,Sur,6,5000,0.0
276,2024-12-14,DataSystems,Consultoría Hora,Servicios,Central,7,150,0.1
277,2024-12-31,CloudNet,Servidor Dedicado,Hardware,Central,5,3500,0.04
278,2024-02-18,Global Corp,Servidor Dedicado,Hardware,Sur,2,3500,0.06
279,2023-02-21,global corp,Licencia Enterprise,Software,Sur,2,5000,0.0
280,2023-07-18,techsolutions inc,Consultoría Hora,Servicios,Central,7,150,0.04
281,2024-09-04,CloudNet,Pack Seguridad,Software,Sur,9,800,0.02
282,2024-04-01,TechSolutions Inc,Licencia Enterprise,Software,Sur,2,5000,0.04
283,2024-09-04,GLOBAL CORP,Consultoría Hora,Servicios,Este,3,150,0.07
284,2023-02-05,global corp,Pack Seguridad,Software,Oeste,3,800,0.04
285,2023-12-13,CloudNet,Licencia Enterprise,Software,Este,2,5000,0.07
286,2024-06-01,Global Corp,Soporte Premium,Servicios,Sur,8,1200,0.05
287,2023-10-29,DATASYSTEMS,Licencia Enterprise,Software,Central,3,5000,0.07
288,2023-03-31,Global Corp,Pack Seguridad,Software,Oeste,7,800,0.02
289,2024-10-03,TechSolutions Inc,Pack Seguridad,Software,Este,6,800,0.08
290,2023-10-13,TECHSOLUTIONS INC,Pack Seguridad,Software,Oeste,7,800,0.08
291,2023-01-04,global corp,Pack Seguridad,Software,Sur,9,800,0.08
292,2024-10-31,Global Corp,Consultoría Hora,Servicios,Sur,8,150,0.03
293,2024-11-10,software house,Pack Seguridad,Software,Oeste,6,800,0.07
294,2023-10-26,TechSolutions Inc,Pack Seguridad,Software,Sur,3,800,0.02
295,2024-04-07,TechSolutions Inc,Servidor Dedicado,Hardware,Este,2,3500,0.09
296,2023-12-18,DataSystems,Licencia Enterprise,Software,Sur,9,5000,0.06
297,2024-05-02,TechSolutions Inc,Licencia Enterprise,Software,Este,8,5000,0.1
298,2024-11-08,DATASYSTEMS,Pack Seguridad,Software,Oeste,10,800,0.08
299,2024-09-28,global corp,Licencia Enterprise,Software,Norte,9,5000,0.08
300,2024-08-27,Global Corp,Pack Seguridad,Software,Oeste,3,800,0.1
301,2023-10-12,SOFTWARE HOUSE,Pack Seguridad,Software,Oeste,2,800,0.1
302,2023-04-28,Global Corp,Consultoría Hora,Servicios,Oeste,2,150,0.04
303,2024-12-24,TechSolutions Inc,Licencia Enterprise,Software,Este,10,5000,0.01
304,2023-11-20,TechSolutions Inc,Licencia Enterprise,Software,Este,1,5000,0.06
305,2023-11-09,techsolutions inc,Soporte Premium,Servicios,Central,1,1200,0.06
306,2023-09-29,Global Corp,Pack Seguridad,Software,Este,10,800,0.06
307,2024-04-21,TechSolutions Inc,Servidor Dedicado,Hardware,Oeste,2,3500,0.05
308,2023-12-01,DataSystems,Pack Seguridad,Software,Sur,7,800,0.02
309,2024-03-02,DataSystems,Licencia Enterprise,Software,Sur,1,5000,0.04
310,2024-06-09,DATASYSTEMS,Licencia Enterprise,Software,Este,7,5000,0.04
311,2023-11-13,SoftWare House,Soporte Premium,Servicios,Central,10,1200,0.01
312,2023-10-16,CLOUDNET,Consultoría Hora,Servicios,Sur,4,150,0.1
313,2024-09-21,SOFTWARE HOUSE,Pack Seguridad,Software,Central,10,800,0.04
314,2023-10-26,DataSystems,Licencia Enterprise,Software,Norte,1,5000,0.04
315,2023-02-17,DataSystems,Consultoría Hora,Servicios,Oeste,6,150,0.02
316,2023-02-21,SOFTWARE HOUSE,Pack Seguridad,Software,Norte,1,800,0.04
317,2023-12-10,cloudnet,Soporte Premium,Servicios,Norte,8,1200,0.01
318,2023-03-31,cloudnet,Servidor Dedicado,Hardware,Norte,5,3500,0.02
319,2024-05-04,DATASYSTEMS,Servidor Dedicado,Hardware,Central,8,3500,0.02
320,2024-05-13,SoftWare House,Pack Seguridad,Software,Este,4,800,0.03
321,2023-11-25,Global Corp,Servidor Dedicado,Hardware,Central,8,3500,0.06
322,2023-02-17,Global Corp,Pack Seguridad,Software,Este,5,800,0.0
323,2024-09-03,TECHSOLUTIONS INC,Soporte Premium,Servicios,Sur,10,1200,0.03
